lzma;7.59 GB;5.74 GB;4.66 GB;1484252;1838845
lzma;7.72 GB;6.20 GB;4.92 GB;3747372;4803458
lzma;7.63 GB;5.87 GB;4.73 GB;2233987;2828310
lzma;7.64 GB;5.90 GB;4.73 GB;2260735;2872192
lzma;7.58 GB;5.67 GB;4.63 GB;1278418;1600111
Error
lzma;7.55 GB;5.50 GB;4.63 GB;660423;810918
lzma;7.55 GB;5.48 GB;4.62 GB;584078;714683
lzma;7.53 GB;5.39 GB;4.67 GB;339097;409309
lzma;7.53 GB;5.37 GB;4.66 GB;300200;358882
lzma;7.53 GB;5.30 GB;4.71 GB;183977;218575
lzma;7.52 GB;5.30 GB;4.71 GB;170722;200164
lzma;7.52 GB;5.23 GB;4.75 GB;95135;108503
lzma;7.52 GB;5.23 GB;4.75 GB;88334;100386
lzma;7.52 GB;5.11 GB;4.75 GB;47810;52926
lzma;7.52 GB;5.10 GB;4.75 GB;44308;48840
lzma;7.52 GB;5.04 GB;4.76 GB;24435;26559
lzma;7.52 GB;5.03 GB;4.76 GB;22659;24542
lzma;7.52 GB;4.96 GB;4.76 GB;12212;13021
Error
Error
lzma;7.52 GB;4.90 GB;4.75 GB;5251;5453
Error
Error
lzma;7.52 GB;4.78 GB;4.78 GB;898;898
lzma;7.52 GB;4.78 GB;4.78 GB;898;898
Error
Error
Error
