zlib;8;12;10;7.59 GB;5.79 GB;4.70 GB;1484210;1838822
zlib;9;14;10;7.72 GB;6.10 GB;4.84 GB;3747358;4803461
zlib;8;13;11;7.63 GB;5.88 GB;4.74 GB;2233948;2828250
zlib;9;16;11;7.64 GB;5.90 GB;4.73 GB;2260736;2872193
zlib;9;14;12;7.58 GB;5.76 GB;4.70 GB;1278332;1600020
zlib;10;16;12;7.58 GB;5.74 GB;4.69 GB;1146752;1433830
zlib;10;15;13;7.55 GB;5.65 GB;4.75 GB;660424;810918
zlib;11;18;13;7.55 GB;5.64 GB;4.75 GB;584132;714738
zlib;11;16;14;7.53 GB;5.59 GB;4.83 GB;339051;409257
zlib;12;19;14;7.53 GB;5.58 GB;4.83 GB;300236;358912
zlib;11;17;15;7.53 GB;5.55 GB;4.92 GB;183989;218587
zlib;12;19;15;7.52 GB;5.55 GB;4.92 GB;170691;200130
zlib;12;18;16;7.52 GB;5.52 GB;5.00 GB;95106;108475
zlib;13;20;16;7.52 GB;5.52 GB;5.01 GB;88344;100396
zlib;13;19;17;7.52 GB;5.51 GB;5.10 GB;47844;52960
zlib;14;21;17;7.52 GB;5.51 GB;5.12 GB;44305;48837
zlib;14;20;18;7.52 GB;5.50 GB;5.17 GB;24426;26550
zlib;15;22;18;7.52 GB;5.50 GB;5.20 GB;22658;24541
zlib;15;21;19;7.52 GB;5.50 GB;5.26 GB;12215;13024
zlib;16;23;19;7.52 GB;5.50 GB;5.27 GB;11278;11996
zlib;16;22;20;7.52 GB;5.49 GB;5.32 GB;6203;6477
zlib;18;23;20;7.52 GB;5.49 GB;5.33 GB;5264;5466
zlib;17;22;21;7.52 GB;5.49 GB;5.36 GB;3697;3817
zlib;20;23;21;7.52 GB;5.49 GB;5.38 GB;2330;2386
zlib;23;23;23;7.52 GB;5.49 GB;5.49 GB;899;899
zlib;23;23;32;7.52 GB;5.49 GB;5.49 GB;899;899
zlib;20;20;20;7.52 GB;5.49 GB;5.46 GB;7130;7183
zlib;20;20;23;7.52 GB;5.49 GB;5.46 GB;7130;7183
zlib;20;20;15;7.52 GB;5.49 GB;5.46 GB;7130;7183
