lz4;8;12;10;304.44 MB;297.06 MB;297.06 MB;73768;73786
lz4;9;14;10;309.59 MB;303.18 MB;303.10 MB;196451;196513
lz4;8;13;11;306.18 MB;299.15 MB;299.12 MB;115132;115160
lz4;9;17;11;306.29 MB;299.44 MB;299.38 MB;117915;117944
lz4;9;14;12;304.09 MB;296.76 MB;296.72 MB;65339;65354
lz4;10;17;12;303.82 MB;296.46 MB;296.42 MB;58882;58894
lz4;10;15;13;302.74 MB;295.03 MB;295.01 MB;33242;33249
lz4;11;18;13;302.58 MB;294.83 MB;294.81 MB;29341;29346
lz4;11;16;14;302.05 MB;294.00 MB;293.99 MB;16658;16659
lz4;12;20;14;301.96 MB;293.89 MB;293.89 MB;14755;14755
lz4;12;19;15;301.69 MB;293.43 MB;293.43 MB;8116;8116
lz4;13;20;16;301.53 MB;293.14 MB;293.14 MB;4152;4152
lz4;14;21;17;301.44 MB;292.99 MB;292.99 MB;2158;2158
lz4;14;20;18;301.40 MB;292.94 MB;292.94 MB;1240;1240
lz4;15;21;19;301.37 MB;292.90 MB;292.90 MB;657;657
lz4;16;22;20;301.36 MB;292.89 MB;292.89 MB;394;394
lz4;20;23;21;301.35 MB;292.87 MB;292.87 MB;180;180
lz4;18;18;18;301.40 MB;292.93 MB;292.93 MB;1213;1213
