zlib;8;12;10;3.00 GB;1.26 GB;1.20 GB;728906;781696
zlib;9;14;10;3.04 GB;1.41 GB;1.31 GB;1613079;1765523
zlib;8;13;11;3.02 GB;1.30 GB;1.21 GB;1004029;1099202
zlib;9;17;11;3.02 GB;1.31 GB;1.22 GB;1003859;1094536
zlib;9;14;12;3.00 GB;1.23 GB;1.15 GB;605544;659535
zlib;10;17;12;2.99 GB;1.22 GB;1.14 GB;547089;593925
zlib;10;15;13;2.99 GB;1.17 GB;1.10 GB;352461;381956
zlib;11;18;13;2.98 GB;1.17 GB;1.09 GB;318819;344581
zlib;11;16;14;2.98 GB;1.14 GB;1.07 GB;222084;239456
zlib;12;20;14;2.98 GB;1.13 GB;1.07 GB;204148;219749
zlib;12;19;15;2.98 GB;1.11 GB;1.05 GB;154875;166384
zlib;13;20;16;2.98 GB;1.10 GB;1.04 GB;123154;131999
zlib;14;21;17;2.97 GB;1.09 GB;1.04 GB;107439;115095
zlib;14;20;18;2.97 GB;1.09 GB;1.03 GB;100917;108030
zlib;15;21;19;2.97 GB;1.08 GB;1.04 GB;96784;103634
zlib;16;22;20;2.97 GB;1.08 GB;1.04 GB;94828;101563
zlib;20;23;21;2.97 GB;1.08 GB;1.04 GB;93487;100117
zlib;18;18;18;2.97 GB;1.09 GB;1.04 GB;99931;106921
