lzma;8;12;10;304.44 MB;297.94 MB;297.94 MB;73756;73774
lzma;9;14;10;309.59 MB;310.36 MB;310.28 MB;196449;196511
lzma;8;13;11;306.18 MB;302.02 MB;301.99 MB;115137;115165
lzma;9;17;11;306.29 MB;302.50 MB;302.44 MB;117901;117930
lzma;9;14;12;304.09 MB;296.92 MB;296.88 MB;65346;65361
lzma;10;17;12;303.82 MB;296.28 MB;296.24 MB;58900;58912
lzma;10;15;13;302.74 MB;293.22 MB;293.19 MB;33232;33239
lzma;11;18;13;302.58 MB;292.78 MB;292.76 MB;29334;29339
lzma;11;16;14;302.05 MB;290.94 MB;290.94 MB;16661;16662
lzma;12;20;14;301.97 MB;290.67 MB;290.67 MB;14761;14761
lzma;12;19;15;301.69 MB;289.41 MB;289.41 MB;8122;8122
lzma;13;20;16;301.53 MB;288.47 MB;288.47 MB;4148;4148
lzma;14;21;17;301.44 MB;287.80 MB;287.80 MB;2161;2161
lzma;14;20;18;301.40 MB;287.36 MB;287.36 MB;1239;1239
lzma;15;21;19;301.37 MB;286.88 MB;286.88 MB;656;656
lzma;16;22;20;301.36 MB;286.53 MB;286.53 MB;396;396
lzma;20;23;21;301.35 MB;286.19 MB;286.19 MB;181;181
lzma;18;18;18;301.40 MB;287.46 MB;287.46 MB;1213;1213
