lz4;8;12;10;3.00 GB;1.69 GB;1.61 GB;728943;781731
lz4;9;14;10;3.04 GB;1.82 GB;1.69 GB;1613086;1765526
lz4;8;13;11;3.02 GB;1.72 GB;1.60 GB;1003998;1099154
lz4;9;17;11;3.02 GB;1.73 GB;1.61 GB;1003850;1094531
lz4;9;14;12;3.00 GB;1.65 GB;1.54 GB;605551;659545
lz4;10;17;12;2.99 GB;1.65 GB;1.53 GB;547144;593998
lz4;10;15;13;2.99 GB;1.60 GB;1.49 GB;352490;381991
lz4;11;18;13;2.98 GB;1.59 GB;1.48 GB;318871;344626
lz4;11;16;14;2.98 GB;1.55 GB;1.45 GB;222088;239460
lz4;12;20;14;2.98 GB;1.55 GB;1.45 GB;204124;219725
lz4;12;19;15;2.98 GB;1.53 GB;1.44 GB;154897;166406
lz4;13;20;16;2.98 GB;1.51 GB;1.43 GB;123168;132013
lz4;14;21;17;2.97 GB;1.51 GB;1.43 GB;107471;115127
lz4;14;20;18;2.97 GB;1.50 GB;1.43 GB;100959;108072
lz4;15;21;19;2.97 GB;1.50 GB;1.43 GB;96805;103655
lz4;16;22;20;2.97 GB;1.50 GB;1.43 GB;94854;101589
lz4;20;23;21;2.97 GB;1.50 GB;1.43 GB;93516;100146
lz4;18;18;18;2.97 GB;1.50 GB;1.44 GB;99969;106959
